项目名称,区域,地址,户型,最低租金,最高租金,最小面积,最大面积,联系电话
馨越公寓,普陀区,普陀区千阳南路99弄,一居室、二居室、单间,2060,3010,33.53,47.17,53391055
都会名筑,松江区,松江区车墩镇南姚东路99弄,三居室、二居室,2617,3539,76.92,99.3,67818816
光明雅筑,松江区,松江区洞泾镇陆家圈路63弄,二居室、三居室,3245,3979,76.56,90.96,67818816
桂语云居,松江区,松江区草长浜路188弄,二居室、一居室,2467,2883,64.8,75.71,57899291
恒都云湾园,松江区,松江区茸惠南路58弄11号,二居室,2670,2817,66.83,67.32,67799766
金地艺境,松江区,松江区仓轩路211弄49号,三居室、一居室,1669,2981,51.08,85.59,57899291
麓源,松江区,松江区永隆路980弄207号,三居室、二居室,2165,2709,72.23,93.77,57899291
绿地松江名苑,松江区,松江区仓华路999弄86号,二居室、一居室,1946,2843,50.04,78.57,57899291
水云间,松江区,松江区兴仓路39弄45号,二居室,2548,3269,73.15,89.68,57899291
松江颐景园,松江区,松江区荣乐西路1058弄7号,三居室、单间,979,3312,28.09,93.45,57899291
新城云间锦院,松江区,松江区化工路555弄46号,三居室、单间,821,2715,27.66,91.43,57899291
信达蓝尊,松江区,松江区长水街277弄15号,二居室、一居室,2426,3379,48.58,69.51,67799766
云著苑,松江区,松江区五昆路88弄1号,一居室,2585,2790,58.38,58.38,67799766
中海九峯里馨苑,松江区,松江区小昆山镇文南路399弄274号,二居室,1941,2158,56.03,63.05,57899291
锦尚悦庭,奉贤区,上海市奉贤区碧园路289弄,二居室、一居室,1264,2088,49.37,79.55,67188885
奉发有言轩,奉贤区,上海市奉贤区丽南路299弄,二居室、三居室、一居室,2091,2558,55.18,83.31,67188885
城投宽庭Lite·青浦社区,青浦区,上海市香大路218号,单间,810,2430,30.48,86.24,18121361561
翠羽景庭,崇明区,陈家镇雪雁路299弄,一居室、三居室、二居室,1000,1470,55.82,77.98,69690831
怡雅园,崇明区,崇明区陈家镇揽海路3350弄,一居室、三居室、二居室,878,1410,55.35,83.43,69690831
右岸雅苑,崇明区,崇明区陈家镇雪雁路66弄,三居室、二居室、一居室,1037,1481,54.99,78.63,69690831
翠鸣雅苑,崇明区,崇明区陈家镇翠鸟路396弄,三居室、二居室,1151,1662,64.72,85.22,69690831
金茂雅庭,崇明区,崇明区长兴镇渔乐路188弄,一居室、二居室,1786,2646,53.31,75.85,69690831
山水拾间,崇明区,崇明区陈家镇揽海路3777弄,二居室,1485,1690,84.65,98.29,69690831
东滩智慧名苑,崇明区,崇明区陈家镇安通东路181弄,一居室、三居室、二居室,533,1001,48.31,85.81,69690831
中粮悦庭,奉贤区,上海市奉贤区贤政路333弄,二居室、三居室,1877,2503,81.62,97.78,67188885
浦泾苑,奉贤区,上海市奉贤区定康路205弄,一居室、三居室、二居室,960,2991,48.29,128.95,67188885
鸿宝二村19幢255号,奉贤区,上海市奉贤区鸿乐路156弄,一居室,770,770,35,35,67188885
奉发左岸晶邸,奉贤区,上海市奉贤区碧园路192弄,二居室、一居室,1067,1618,42.54,64.5,67188885
锦尚名庭,奉贤区,上海市奉贤区广丰路650弄,二居室、三居室、一居室,1472,2223,58.65,88.57,67188885
中铁逸景苑,奉贤区,上海市奉贤区光昊路99弄,一居室、三居室、二居室,1508,2700,47.45,84.93,67188885
保利华都名苑,奉贤区,上海市奉贤区光昊路168弄,二居室、一居室、三居室,1934,3245,52.58,88.18,67188885
奉发名邸,奉贤区,上海市奉贤区康钱路211弄,二居室、一居室、三居室,2258,3481,52.9,81.53,67188885
悦景名筑,奉贤区,上海市奉贤区庄良路60弄,二居室、三居室、一居室,1179,1965,49.55,82.6,67188885
融悦铂庭,奉贤区,上海市奉贤区金雄路1055弄,三居室、二居室、一居室,1338,2050,57.71,88.39,67188885
奉发宝龙广场,奉贤区,上海市奉贤区港佳路398弄,二居室、一居室、三居室,1065,1650,53.25,82.54,67188885
保利翰林雅苑,奉贤区,上海市奉贤区康全路77弄,一居室、三居室、二居室,1880,2846,58.75,88.95,67188885
金悦雅苑,奉贤区,上海市奉贤区金雄路1111弄,二居室、一居室、三居室,1323,1949,57.06,84.02,67188885
四季锦苑,奉贤区,上海市奉贤区褚家路368弄,一居室、二居室、三居室,1551,2624,52.07,88.07,67188885
宝业荟萃雅苑,奉贤区,上海市奉贤区青茂路111弄,二居室,1773,2296,77.13,99.83,67188885
肖塘未来观邸,奉贤区,上海市奉贤区吴塘路988弄,三居室、一居室、二居室,1629,2810,58.15,88.39,67188885
大名城映园,奉贤区,上海市奉贤区正旭路399弄,三居室、二居室、一居室,1144,1958,54.49,81.59,67188885
泷悦和苑,奉贤区,上海市奉贤区正旭路333弄,三居室、一居室、二居室,744,2269,35.45,94.55,67188885
保利和风澜苑,奉贤区,上海市奉贤区仁爱路555弄,二居室、三居室、一居室,1849,3075,58.7,85.42,67188885
泷悦蓝湾城,奉贤区,上海市奉贤区江山路6819弄,三居室、二居室、一居室,1260,2095,60.04,87.33,67188885
美好雅居,奉贤区,上海市奉贤区兰博路1309弄,三居室、一居室、二居室,996,1773,53.03,82.49,67188885
禹洲锦苑,奉贤区,上海市奉贤区金碧路1188弄,一居室、三居室、二居室,1388,2181,57.86,90.88,67188885
山金玲珑苑,奉贤区,上海市奉贤区远东路2199弄,二居室、一居室、三居室,1727,2682,56.1,87.09,67188885
金海壹品苑,奉贤区,上海市奉贤区光昊路567弄,三居室、一居室、二居室,2180,3259,57.38,85.77,67188885
融侨金茂悦庭,奉贤区,上海市奉贤区金钱公路1558弄,一居室、三居室、二居室,1749,2767,54.67,86.49,67188885
凤鸣公馆,奉贤区,上海市奉贤区新塘路38弄,一居室、三居室、二居室,1439,2378,55.78,92.19,67188885
金碧苑,奉贤区,上海市奉贤区沿港河路478弄,一居室、二居室、三居室,1149,2257,60.84,104.53,67188885
龙湖未来广场,奉贤区,上海市奉贤区光迎路369弄,三居室、一居室、二居室,2333,3687,58.04,91.72,67188885
龙湖春江天玺,奉贤区,上海市奉贤区北行路298弄,三居室、二居室、一居室,1192,2705,42.59,84.54,67188885
光明九胤,奉贤区,上海市奉贤区庆园路333弄,一居室、二居室、三居室,1960,2878,57.67,84.66,67188885
香悦华庭,奉贤区,上海市奉贤区金碧路1388弄,二居室、三居室、一居室,1372,2091,59.15,90.14,67188885
原筑江南,奉贤区,上海市奉贤区青村南路328弄,一居室、二居室、三居室,1999,2851,56.02,79.86,67188885
铂悦华庭,奉贤区,上海市奉贤区旗港路88弄,二居室、一居室、三居室,1638,2529,56.29,86.93,67188885
水榭兰亭,奉贤区,上海市奉贤区浦兰路91弄,二居室、三居室,1268,1848,68.19,90.19,67188885
东原阅望轩,奉贤区,上海市奉贤区钜庭路66弄,三居室、二居室、一居室,1098,1987,52.31,82.82,67188885
海湾名庭,奉贤区,上海市奉贤区海农公路1188弄,三居室、二居室、一居室,1047,1659,58.84,81.34,67188885
象屿和苑,奉贤区,上海市奉贤区聚秀路199弄,三居室、二居室、一居室,1812,2822,53.62,83.5,67188885
龙湖春江天越,奉贤区,上海市奉贤区望河路366弄,三居室、二居室、一居室,1760,3122,55.35,98.18,67188885
香海沁园,奉贤区,上海市奉贤区吕桥路288弄,三居室、一居室、二居室,1296,2135,56.14,92.43,67188885
馨雅名庭,奉贤区,上海市奉贤区尚贤路169弄,二居室、三居室,2516,3314,87.7,101.05,67188885
凰城雅苑,奉贤区,上海市奉贤区正旭路733弄,二居室,1421,1640,67.7,68.34,67188885
佳源新都,奉贤区,上海市奉贤区金海公路99弄,一居室、二居室、三居室,1119,2434,49.77,94.36,67188885
金卓雅苑,奉贤区,上海市奉贤区光宾路58弄,一居室、二居室、三居室,1355,2434,53.56,83.94,67188885
中海戈雅园,奉贤区,上海市奉贤区兰博路1088弄,二居室、一居室,963,1701,55.07,85.08,67188885
保利玲玥轩,奉贤区,上海市奉贤区江山路6899弄,三居室、二居室、一居室,1238,1944,53.38,83.82,67188885
悦轩,奉贤区,上海市奉贤区金齐路618弄,二居室、一居室、三居室,1642,2712,52.49,86.66,67188885
怡庭欣苑,奉贤区,上海市奉贤区肖南路68弄,三居室、一居室、二居室,1368,2553,49.77,81.07,67188885
馨雅名邸,奉贤区,上海市奉贤区贤政路129弄,三居室、二居室,2177,2520,70.24,81.3,67188885
望园豪庭,奉贤区,上海市奉贤区达政路199弄,二居室,2930,2930,89.34,89.34,67188885
中铁建香榭澜苑,奉贤区,上海市奉贤区扶兰路18弄,一居室、三居室、二居室,1487,3006,53.89,89.49,67188885
凤城雅苑,奉贤区,上海市奉贤区正旭路599弄,一居室、二居室,1285,2027,53.56,84.46,67188885
临港蓝湾诚园,奉贤区,上海市奉贤区云樱路198弄,一居室、三居室、二居室,1280,1991,53.34,82.98,67188885
麓轩,奉贤区,上海市奉贤区庆园路189弄,一居室、二居室,1216,2240,50.58,82.37,67188885
尚东朗庭,奉贤区,上海市奉贤区褚家路100弄,二居室、三居室、一居室,1503,2267,59.21,89.28,67188885
帝华园,奉贤区,上海市奉贤区南奉公路3111弄,一居室、二居室、三居室,1427,2147,54.47,81.95,67188885
悦城华庭,奉贤区,上海市奉贤区兰博路2777弄,二居室、三居室,1194,1673,71.13,86.7,67188885
海港瑞和家园,奉贤区,上海市奉贤区港阳路333弄,三居室、二居室,1597,1858,69.14,80.45,67188885
秀景馨苑,奉贤区,上海市奉贤区秀韵路105弄,三居室、一居室、二居室,1185,1920,48.18,78.08,67188885
金域华庭,奉贤区,上海市奉贤区万顺路708弄,二居室、三居室、一居室,1488,2151,62.03,89.66,67188885
万科海尚华庭北区,奉贤区,上海市奉贤区国顺路668弄,二居室,2340,2423,78,80.77,67188885
欣悦华庭,奉贤区,上海市奉贤区新四平公路2378弄,三居室,1288,1483,82.58,82.86,67188885
朗诗绿色华庭,奉贤区,上海市奉贤区北行路555弄,三居室、一居室、二居室,1248,2513,63.7,90.31,67188885
海湾名悦豪庭,奉贤区,上海市奉贤区瞭海路159弄,一居室、三居室、二居室,892,1563,57.26,91.75,67188885
中南锦庭,奉贤区,上海市奉贤区贤瑞路111弄,三居室、二居室,1823,2381,69.61,90.91,67188885
海兴名苑,奉贤区,上海市奉贤区海兴路1881弄,二居室、一居室,964,1434,62.2,80.61,67188885
东方华璟园,奉贤区,上海市奉贤区人民路219弄,一居室、三居室、二居室,1152,1974,55.93,95.85,67188885
南亭公馆,奉贤区,上海市奉贤区一新路21弄,一居室,1422,1422,61.85,61.85,67188885
佳源汇景华庭,奉贤区,上海市奉贤区港坤路399弄,三居室、二居室、一居室,846,1451,56.05,83.88,67188885
绿地玉湖庭,奉贤区,上海市奉贤区湖堤路399弄,二居室、多居室,2160,3864,88.91,144.2,67188885
花屿新筑,奉贤区,上海市奉贤区兰博路1455弄,二居室、三居室、一居室,1099,1626,57.85,85.6,67188885
东原瑞景嘉苑,奉贤区,上海市奉贤区清宁路218弄,三居室、二居室、一居室,1020,2060,52,94.97,67188885
万科海尚华庭,奉贤区,上海市奉贤区国顺路669弄,一居室、二居室,2040,2391,68.01,79.73,67188885
汤臣臻园,奉贤区,上海市奉贤区泽丰路566弄,二居室、三居室,1617,3773,61.26,139.75,67188885
金辉南桥馨苑,奉贤区,上海市奉贤区高州路100弄,三居室、二居室,2073,3347,88.6,138.91,67188885
申亚翠庭,奉贤区,上海市奉贤区泰青公路119弄,二居室,1888,1947,94.44,97.38,67188885
绿地风清苑,奉贤区,上海市奉贤区兰博路1189弄,二居室、一居室,822,1389,49.54,73.12,67188885
海湾铭苑,奉贤区,上海市奉贤区海农路1668弄,二居室,1296,1658,83.67,93.18,67188885
万景峰馨园,奉贤区,上海市奉贤区湖堤路199弄,三居室,2163,3000,89.02,107.93,67188885
馨雅名筑,奉贤区,上海市奉贤区解放东路599弄,一居室、二居室,1869,2409,62.32,80.31,67188885
苏宁荣悦,奉贤区,上海市奉贤区解放东路299弄,二居室、三居室,1862,2529,70.01,82.95,67188885
中建公元名邸,奉贤区,上海市奉贤区兰博路1801弄,二居室、三居室,1402,1615,80.79,92.84,67188885
肖塘雅苑,奉贤区,上海市奉贤区北虹路81弄,二居室,1921,1921,91.48,91.48,67188885
申亚乐庭,奉贤区,上海市奉贤区南亭公路2825弄,二居室,1306,1322,71.38,72.25,67188885
秋月朗庭,奉贤区,上海市奉贤区富竹路39弄,二居室,2389,2494,82.68,86.31,67188885
卓越商务中心二期（15-16）,奉贤区,上海市奉贤区百富路339弄,二居室、三居室、一居室,1509,3849,57.63,96.17,67188885
佳源奉城名都,奉贤区,上海市奉贤兰博路3069弄,一居室、三居室、二居室,914,1537,63.94,93.72,67188885
奉德苑,奉贤区,邮电路269弄,二居室、三居室,1407,2059,102.72,131.21,67188885
奉发未来·风华公寓,奉贤区,上海市奉贤区徐家路358弄,二居室、多居室、一居室,2158.2,9327,44.37,195.42,60888066
保利天悦,徐汇区,上海市徐汇区虹漕南路128弄,一居室,5191,5728,53.18,55.91,64690997
高宜家园,浦东新区,上海浦东新区莱阳路2459弄,二居室、一居室、三居室,3879,5940,55.83,99.58,18019396043
馥华里,嘉定区,成泽路385弄,单间、二居室,2436,2812,85.48,86.87,69987999
旭辉公元,嘉定区,德友路77弄,单间、三居室,3410,3837,111.47,111.47,69987999
信义嘉庭二期,嘉定区,复华路28弄,二居室,2573,2912,83.28,88.92,69987999
香溢璟庭一期,嘉定区,依玛路389弄,二居室,3214,3591,91.39,97.14,69987999
大名城名郡,嘉定区,秦安路3号,二居室、三居室,2975,3032,89.43,90.18,69987999
安高东方名邸,嘉定区,崇福路398弄,二居室,2957,3647,80.81,90.27,69987999
置翔佳苑,嘉定区,嘉年路1105弄,一居室,2666,2666,56.43,56.43,69987999
秀城乐惠苑,嘉定区,乐惠路399弄,一居室,2535,2535,57.6,57.6,69987999
铁建澜庭,嘉定区,嘉程路900弄,二居室,3436,3436,76.52,76.52,69987999
祥云锦苑,嘉定区,惠裕路155弄,二居室,3857,3857,82.24,82.24,69987999
美和雅苑,嘉定区,春塔路900弄,一居室,2344,2344,58.4,58.4,69987999
绿色嘉苑,嘉定区,惠裕路588弄,三居室、二居室,3338,3940,75.23,94.16,69987999
江心月庐1,嘉定区,淞阳路801弄,一居室,2368,2368,58.63,58.63,69987999
信达蓝爵,松江区,松江区淡家浜街99弄,单间、二居室、三居室、一居室,1773,4493,33.32,85.33,67799766
佘山院子二期,松江区,松江区小昆山镇崇南公路499弄,单间、二居室、三居室,915,3051,28.73,91.13,57899291
茸城新业苑,松江区,松江区三新北路251弄,一居室、二居室,1751,3461,43.23,89,33551211
国贸佘山源筑,松江区,松江区佘山镇千新公路88弄,一居室,2115,2187,53.29,53.47,57899291
鑫创公寓（广中社区N080601、N080602单元059-02地块开发项目）,虹口区,上海市虹口区凉城新村街道广粤路418弄,二居室、一居室,4144,11502,35.53,107.76,17769049273
汇德智地公寓,青浦区,上海市青浦区漕盈路2900号,单间,2133,3528,35.38,60.72,19921323035
海域苏河源（绿地安亭佳苑）,嘉定区,博园路8155弄,二居室,2025,2502,75.5,83.24,69987999
中骏景荟华庭,松江区,松江区广康路85弄,二居室,2963,3109,77.26,77.28,57899291
上坤红树湾,松江区,松江区光星路1855弄,二居室、三居室,4021,4369,85.1,86.07,67799766
南站租赁住房,徐汇区,徐汇区老沪闵路333弄,一居室、二居室、三居室,1960,6200,25.91,88.48,53391329
憓家安选-收储,徐汇区,徐汇区斜土路2365弄,二居室、一居室、三居室,3849,6775,35.73,89.73,18917602270
憓家安选-莲岸家园,徐汇区,徐汇区罗秀路1171弄,三居室,6319,6730,94.63,98.22,18917602256
耀华滨江公寓16-1,浦东新区,上海市浦东新区耀元路228弄,三居室、二居室、一居室,3230,9830,38.68,104.02,53391140
北杨智汇社区,徐汇区,上海市徐汇区华发路737弄,三居室、二居室、一居室,2934,11619,22.14,93.56,19121185572
酬勤公寓,松江区,松江区石湖荡镇酬勤路333弄,单间,1545,2022,31.1,36.54,15601931777
理想之地（理想名都）,嘉定区,荣旺路99弄,三居室、一居室、二居室,3013,4642,67.72,99.91,69987999
馨宁公寓,徐汇区,上海市徐汇区华发路406弄,二居室、三居室、一居室,4309,5458,62.34,63.27,18917602270
憓家优选-公积金,徐汇区,徐汇区广元西路629号,一居室、三居室,3133,8932,48.65,99.85,64690997
昌化路600弄,静安区,静安区昌化路600弄,一居室、二居室,1648,4750,26.93,64.44,52049817
苏河湾润府,静安区,福建北路228弄,二居室,5940,6480,57.09,67.26,52049817
华亭新家银杏苑,松江区,松江区乐都西路1455弄,一居室、三居室、二居室,1878,3456,56.07,112.27,67846073
华亭新家百合苑一期,松江区,松江区乐都西路1629弄57号、58号、59号、160号、161号,一居室、二居室,1862,3130,56.01,91.22,67846073
华亭新家百合苑二期,松江区,松江区乐都西路1629弄,二居室、一居室,1763,3146,52.65,91.04,67846073
创业公寓,浦东新区,上海市浦东新区张江镇碧波路573弄,三居室、一居室、二居室,1998,7668,24.89,150.52,13370212283
誉品馨苑,松江区,松江区广富林街道辰轩路118弄,二居室、一居室,2237,3534,51.45,77,57899291
金融街美兰金悦府,宝山区,上海市宝山区潘泾路1398弄,一居室、三居室,1726,2800,51.76,57.39,18917772501
锦绣四季,宝山区,上海市宝山区潘泾路366弄,二居室、一居室,3111,3212,74.77,75,18917772501
七牧小区,宝山区,上海市宝山区联牧路1弄44支弄,一居室、二居室,2382,2518,60.84,62.39,18917772501
华涵佳苑,宝山区,上海市宝山区顾北路358弄,一居室,2529,2723,61.41,61.5,18917772501
中環置地中心润府,宝山区,上海市宝山区走马塘路730弄,一居室、二居室,3438,5022,62.09,79.98,18917772501
同济佳苑,静安区,上海市静安区康定路1033号,一居室,5408,6336,48.53,59.18,62665300
融创滨江壹号,徐汇区,天钥桥南路999弄1号,二居室、一居室,6086,9129,55.85,85.67,54487036
光明府,金山区,金山区龙堰路166弄36号,三居室、二居室,2097,2889,91.09,117.44,33690808
莘泽苑,松江区,松江区华莹山路450弄3号,一居室,2100,2120,58.3,58.3,18018619939
松和苑,松江区,松江区米筛浜路699弄,一居室,1970,2110,55.96,56.96,18018619939
君悦华庭,嘉定区,荣轩路60弄,二居室、单间,1386,3013,37.14,83.26,69987999
虹房家融创青云路壹号社区,虹口区,青云路169弄,二居室,10826.1,10935,93.4,94.93,13331912768
虹房家恒大江湾华庭社区,虹口区,三门路1266弄1号,二居室、一居室,5509,7597,58.31,80.04,18930199673
虹房家金茂新城雅苑社区,虹口区,上海市虹口区广灵四路855弄21号,二居室、一居室,5749,6861,56.39,72.56,13331912768
虹房家水电路198号店,虹口区,水电路198号,一居室,3194,3782,27.74,36.83,13331912768
虹房家凉城新村社区,虹口区,水电路1312弄,一居室、二居室,3886,6105,39,64.12,18930521651
虹房家宝博公寓店,虹口区,水电路1689号,一居室,1985,3851,26.72,49.31,18930199673
虹房家味美思公寓店,虹口区,吴淞路619号,二居室、一居室,4966,7330,35.19,70.63,18930521651
虹房家东方公寓社区,虹口区,汶水东路541弄4号,一居室、三居室,3808,6191,42.18,81.19,18930521651
憓家安选,徐汇区,徐汇区龙华西路398弄,一居室、二居室,1933,5298,21,60.78,64690997
悦汇长庭,徐汇区,上海市徐汇区罗秀路419号,一居室、二居室,6193,7393,71.5,83.56,17717511490
代理经租（虹口区）,虹口区,曲阳路483弄等,一居室、二居室、三居室,2988,7731,36.37,110.76,64186357
浦发有家进贤社区,浦东新区,满天星路899弄,一居室、二居室,2223,3564,32.62,59.02,15333917087
南山嘉荟领峯（嘉澜名邸）,嘉定区,棋盘路699弄,二居室,2820,3058,67.3,67.53,69987999
佘山院子,松江区,松江区小昆山镇崇南公路599弄,二居室、三居室、单间,824,2698,27.98,90.04,57899291
青溪云邸公寓,长宁区,上海市青溪路188弄,三居室,26685.4,29923.6,161.58,193.17,52831690
嘉芯荟（嘉荣苑）,嘉定区,六泉桥路185弄,三居室,3825,3974,97.65,98.42,69987999
田东佳苑,徐汇区,上海市徐汇区漕东路36号,一居室、二居室,5182,6542,56.03,56.45,64690997
上实海上菁英二期,宝山区,上海市宝山区沪联路1228弄,一居室,2573,3224,60.12,79.97,18917772501
上实海上菁英,宝山区,上海市宝山区宝正路99弄,一居室,2567,3188,60,79.83,18917772501
大华公园城市三期,宝山区,上海市宝山区大康路666弄,二居室,3926,4379,72.89,77.65,18917772501
大华公园城市二期,宝山区,上海市宝山区大康路688弄,二居室,4006,4306,73,78.99,18917772501
大华公园城市,宝山区,上海市宝山区康宁路2199弄,一居室、二居室,3219,4397,53.34,80.52,18917772501
鑫桂苑,徐汇区,上海市徐汇区叠彩路232号,一居室、二居室,6086,7321,54.66,64.84,64690997
城投宽庭Lite·北青社区,青浦区,北青公路8558弄,单间,1023,2317,36.1,80.98,18916116795
昱星家园、南馨佳苑,浦东新区,鹤沙路688弄,二居室、一居室,1818,2925,46.88,72.11,64186357
国塘公寓,杨浦区,市光路611号,单间,1977.7,4563.1,9.2,59.3,19117099977
彩虹小居国京路店,杨浦区,上海市杨浦区国京路51号,单间,1515.1,5235.4,10,35.2,13262663565
璟煦公寓,浦东新区,浦东新区满天星路999弄,单间、一居室、二居室,1703,2124,22.56,75.38,17701677662
海滨新城,金山区,金山区卫清东路2835弄,一居室,1410,1570,34,39.28,33690808
路劲上海派二（盛世景庭）,嘉定区,于塘南路82弄,二居室,2438,3009,78.73,86.19,69987999
禹洲丁香里（禹洲香溪里）,嘉定区,树屏东路599弄,二居室,2978,3023,88.79,89.37,69987999
路劲海尚湾,嘉定区,安雅路399弄,二居室,3002,3036,93.55,94.39,69987999
虹桥人才公寓(东区),长宁区,上海市长宁区广虹路58弄,一居室、单间、二居室,2770,7897,19.52,76.62,62397878
金地峯汇(金嘉雅苑),嘉定区,崇乐路158弄,一居室,2579,2924,59.57,59.57,69987999
申橙公寓,黄浦区,黄浦区延安东路385号,一居室,4767,6122,14.36,29.77,18017402906
南舒房·丽舍二期,黄浦区,丽园路502号,二居室、一居室,5275,8870,26.5,55.57,18917189596
浦东新区杨高中路10弄1支弄44号201室等,浦东新区,杨高中路10弄,单间、二居室,2796,4928,47.74,73.41,64186357
和光寓辽源西路店,杨浦区,上海市杨浦区辽源西路111号,单间,2871.9,9830.7,22.6,66.2,15317221779
耀华滨江公寓19-1,浦东新区,上海市浦东新区耀元路245弄,三居室、一居室、二居室,3090,9760,38.06,103.97,53391140
纳仕 | 张江在线右里,浦东新区,盛荣路555弄,二居室、一居室,4131,8028,35.91,73.13,18930813273
虹房家招商虹玺社区,虹口区,虹镇老街189弄33号,一居室、二居室,7698,12917,60.54,88.71,18939785102
虹房家招商外滩玺社区,虹口区,金田路65弄9号,二居室,11841,13006,84.34,84.76,18939785102
长阳印象公寓,杨浦区,上海市杨浦区长阳路1687号,单间,3375.9,4723.2,16,30,15795188819
御江庭,徐汇区,上海市徐汇区瑞宁路8弄3号,二居室,10346,11035,78.97,79.98,64690997
瑞盛宁苑,徐汇区,上海市徐汇区大木桥路889弄,一居室,9845,10239,71.18,71.82,64690997
馨逸公寓(一期）,徐汇区,徐汇区宾南路36弄,二居室、一居室,3270,6170,40.31,65.06,53391315
馨逸公寓(二期),徐汇区,徐汇区宾南路36弄,二居室、一居室,3190,5890,42.85,62.04,53391315
保利熙悦,宝山区,上海市宝山区走马塘路1228弄,二居室,4057,5134,87.47,91.59,18917772501
云麓之城,宝山区,上海市宝山区罗太路869弄,一居室,2269,2428,74.26,74.97,18917772501
金地天地云墅,宝山区,上海市宝山区苏家浜路388弄,一居室、二居室,2796,4129,64.47,82.66,18917772501
雍和府,宝山区,上海市宝山区潘泾路5777弄,二居室,1773,2077,87.33,93.99,18917772501
玲珑悦府,宝山区,上海市宝山区潘泾路1999弄,一居室、二居室,2165,2470,63.63,76.28,18917772501
西部乐巢·紫薇花园,普陀区,普陀区古浪路1180弄,一居室,4450,5210,60.72,63.55,15800867599
西部乐巢·大华峯荟,普陀区,华池路251号,二居室、一居室,4720,6020,43.71,56.42,18301975366
西部乐巢·天汇玺,普陀区,普陀区东新支路49弄,一居室,4900,5180,47.98,51.04,18301975366
西部乐巢·和宜公寓,普陀区,普陀区中山北路1297弄,一居室,2540,3060,31.4,35.95,15201907866
西部乐巢·公园道,普陀区,普陀区景泰路702弄,一居室,3730,4140,46.73,52.93,15800867599
市北高新人才公寓·南苑,静安区,静安区汶水路400弄,一居室、三居室、二居室,4993,10702,38,86.88,56885565
鑫耀融景,徐汇区,徐汇区叠彩路186号,一居室、二居室,9854,16042,63.67,92.02,18217531470
嘉俊庭,徐汇区,华泾路1388弄6号,一居室,3634,4744,40.98,62.42,18917760095
峰汇庭,徐汇区,宋园路129弄8号,一居室,4609,5021,36.26,38.67,64690997
汇元玺,徐汇区,兆丰路108弄5号,一居室,5818,6444,42.99,43.6,64690997
静航公寓,静安区,上海市静安区万航渡路858弄,单间、二居室、一居室,3760,7720,38.86,46.14,62665300
合寓社区,松江区,上海市松江区莘砖公路1128号,单间、一居室,1770,2531,21.73,31.71,19121289218
休闲绿地二期,松江区,松江区西林南路125弄,一居室、二居室,1550,2758,34.79,64.64,33558516
万科云间传奇,松江区,松江区方松街道辰塔路2155弄,单间、三居室,1162,3823,29.27,95.03,33551211
万科梦想派,松江区,松江区淡家浜街88弄44号,二居室、三居室、单间,1300,4804,24.07,83.14,67799766
方舟苑,嘉定区,澄浏中路3298弄,二居室,3091,3451,85.23,85.23,69987999
信义嘉庭一期,嘉定区,翁家宅路89弄,二居室,2632,3024,85.93,85.93,69987999
阳光城新界（阳光新荟都）,嘉定区,德富路1388弄,二居室,3124,3486,80.68,80.79,69987999
康德名筑,金山区,金山区康德路199弄68号,一居室,1305,1476,61.72,66.47,33690808
奉发未来·青春公寓,奉贤区,奉贤区青村镇 东至德欣路,单间、三居室、二居室、一居室,1641.48,8999.5,45.3,194.76,60888066
福临佳苑,嘉定区,平城路955弄,一居室,1478,1989,38.35,51.1,69987999
惠南镇120套,浦东新区,通济路1279弄,二居室、一居室,1600,2100,51.85,75.57,52049817
毛家弄,静安区,沪太路453弄65号,一居室,968,3632,17.93,50.8,52049817
东元坊补充,黄浦区,凤阳路288号,三居室、一居室、二居室,2484,12528,39.71,153.86,64186357
代理经租（浦东新区）,浦东新区,金桥路530弄,三居室、二居室、一居室,2286,8415,36.95,121.7,64186357
代理经租（浦东新区外环外）,浦东新区,沪南路3468弄,二居室、一居室、三居室,3870,5940,64.75,105.25,64186357
虹房家虹盛里社区,虹口区,新市南路1206号,一居室、三居室、二居室,4544,7354,54.11,97.58,18930521651
