项目名称,区域,地址,户型,最低租金,最高租金,最小面积,最大面积,联系电话
云尚澜园,松江区,松江区荣乐西路900弄,一居室,2346,2750,57.55,64.05,57899291
兴云峻庭,松江区,松江区洞泾镇蔡家浜东路788弄,一居室、二居室,2039,3118,41.72,61.75,67818816
南站汇家,徐汇区,徐汇区老沪闵路385号,单间、一居室,3222,7044,22.66,76.51,17717511487
鹤驰路88弄等零星房源,浦东新区,鹤驰路88弄,三居室、二居室,2394,4419,60.68,94.31,63336323
宸寓·天宸名庭社区,临港新城,上海市浦东新区杉云路66弄,单间、多居室、三居室、一居室、二居室,1027,4555,33,154.35,58058818
宸寓·科怡居社区,临港新城,上海市浦东新区海基一路111弄,二居室、单间、一居室,1050.5,3382,25.85,79.06,58185868
中电·闲猫青年社区,松江区,松江区文松路333弄,一居室、单间,1658,3060,25.8,44.98,18701937913
兴文大楼,黄浦区,制造局路455弄,二居室、三居室、一居室,3564,7056,47.75,97.75,64186357
宁海公寓,黄浦区,宁海东路297号,一居室,2385,4527,30.2,57.27,64186357
城投宽庭Lite·松江社区,松江区,松江区佘山镇金白花路50弄,一居室,1013,2898,30.76,92.18,19301253516
城投宽庭临港社区,临港新城,玉柏路399弄,单间、三居室、一居室、二居室,932,5620,31.45,104.08,4006796966
金地草莓社区南大店（南区）,宝山区,宝山区大场镇弘卓路168弄,二居室、单间、一居室,3051,5823,27.71,49.26,19921606733
嘉园,徐汇区,徐汇区永嘉路492弄,一居室,3795,4770,37.54,47.5,64690997
@HOME爱住·鑫耀,徐汇区,上海市徐汇区苍梧路4号,一居室,5499,10304,37,67,13032163091
自如友寓（兰溪路店）,普陀区,上海市普陀区兰溪路201号,单间、一居室,3483,4833,19.89,41.8,18616908093
西郊金茂府保障性租赁住房,嘉定区,上海市嘉定区封周路885弄,三居室、一居室、二居室,5825.7,9936,69.3,101.27,18721776966
泽慧楼,黄浦区,青龙桥街66弄,一居室、三居室,10728,25362,70.13,219.05,64186357
福山路,浦东新区,福山路100弄,二居室,5040,7218,49.9,72.26,64186357
瑞福大楼,黄浦区,延安东路385号,二居室、一居室,3276,4806,45.64,68.1,64186357
龙南佳苑,徐汇区,徐汇区龙水南路336弄,一居室、二居室、单间,2067,5460,30.47,64.07,54487036
城璟松江中山社区,松江区,上海市松江区茸梅路855弄,一居室、单间,1913,3986,35.51,68.42,18221296608
城投宽庭张江社区（二期）,浦东新区,宁丰路68弄,一居室、二居室,2169,8658,25.01,116.25,19261291773
寓贤自如里,虹口区,上海市虹口区凉城路2289号,二居室、一居室、单间,2434.5,6281.1,27.13,46.16,13122678555
西部乐巢·智和苑,普陀区,皋兰山路49弄,一居室、单间、二居室,2809,7780,33,80.4,16601981866
晟光里公寓上海新江湾店,杨浦区,上海市杨浦区新江湾街道国霞路455号,单间,5237.1,13895.1,29.31,97.92,18221117634
憓家优选-大居闵行,闵行区,闵行区浦连路150弄,二居室,1870.55,2649.2,65.55,69.52,18917611156
憓家优选-大居松江,松江区,松江区泗凯路875弄,二居室,2587,2855,64.63,73.48,18917611156
雍汇庭,徐汇区,徐汇区华泾路1266弄,一居室,4296,4421,47.71,48.17,17717511490
佳运瑞璟湾,宝山区,上海市宝山区顾佑路77弄,二居室、一居室,2666,4225,50.2,74.28,18917772501
国顺公寓,杨浦区,国顺路117弄,三居室、二居室,3438,5634,42.83,77.94,64186357
保障中心代管项目,黄浦区,车站支路9弄,三居室、二居室、一居室,4770,10467,43.86,96.26,64186357
霄云湾公寓,宝山区,上海市宝山区萧云路1318弄,单间、一居室、二居室,690,1310,32.86,74.97,18917772501
浦东新区下南路551弄40号104室等项目,浦东新区,下南路551弄,一居室、二居室,3298,8280,24.7,111.6,64186357
国贸松江名庭,松江区,松江区永隆路555弄,二居室、一居室、一居室,2318,2846,55.73,64.5,57899291
名城璞园,松江区,松江区化工路958弄,二居室、一居室,2095,2570,50.07,60.26,57899291
中海九峯里璟苑,松江区,松江区文南路299弄,二居室、一居室,2102,2702,48.66,61.76,57899291
中海九峯里,松江区,松江区文南路368弄,二居室、一居室,1834,2094,52.66,59.22,57899291
国贸松江华庭,松江区,松江区云逸路399弄,二居室、一居室,2133,2675,51.64,62.3,57899291
海珀佘山,松江区,松江区佘山镇九江公路159弄,一居室、三居室、二居室,2203,3488,55.14,87.9,57899291
佘山宸辉苑,松江区,松江区余山镇兰墅路555弄,二居室,2223,2410,59.24,59.91,57899291
南大梧桐里,宝山区,弘卓路168弄,一居室、二居室,3105,5175,27.71,41.2,13916254634
憓家优选,徐汇区,徐汇区南丹路368弄,三居室、二居室、一居室、多居室,2336,13962,40.35,245.49,64835777
保利滨江天珺,徐汇区,上海市徐汇区天钥桥南路933弄,一居室,6731,7343,50.36,52.04,54487036
玖珑庭,徐汇区,上海市徐汇区武宣路188弄,一居室,7002,7787,61.24,66.21,64690997
旭东锦公寓,宝山区,塘祁路379弄,二居室、一居室,2531.8,5858.3,24.73,55.73,56136800
黄浦区延安中路537号项目,黄浦区,延安中路537号,一居室,3728,4626,31.87,50.81,64186357
微领地新虹桥湖畔社区,嘉定区,上海市嘉定区金迈路505弄,一居室、单间,2215,3962,15.22,28.99,18501608928
徐汇区医学院路72弄1号1406室等项目,徐汇区,医学院路72弄,三居室、一居室、二居室,2133,4680,28.3,73.13,64186357
裕嘉公寓,青浦区,上海市青浦区徐泾镇育才路565号,二居室、三居室、一居室、单间,2140.2,4851,18.84,47.89,17821202258
苏河玺,普陀区,普陀区东新支路17弄,一居室,4780,5060,44.43,45.62,18301975366
苏河望,普陀区,普陀区旬阳路115弄,一居室、二居室,5390,6180,59.54,61.94,13761227855
云吉居公寓,普陀区,上海市普陀区中山北路2052号,一居室,5416,7560,28.51,70.7,18918228073
华明苑,普陀区,普陀区云岭西路230弄106支弄,三居室、二居室、一居室,4370,6480,65.21,94,53390922
浦东新区永泰路630弄66号1303室等项目,浦东新区,永泰路630弄,一居室、二居室,2430,4845,14,84.5,64186357
普陀区铜川路2059弄12号602室等项目,普陀区,铜川路2059弄,一居室、二居室、三居室,2322,5610,41.02,113.41,64186357
奉发未来·煜会苑,奉贤区,上海市奉贤区青村镇,二居室、三居室、一居室、单间,1557,4273.2,38.71,102.76,67188770
黄浦区陕西南路287弄44号等项目,黄浦区,黄浦区陕西南路287弄,三居室、一居室、二居室,1350,12915,11.6,192.79,64186357
浦发有家浦贤社区,浦东新区,上海市浦东新区康泽路86弄,二居室、一居室,2573,4601,30.61,66.44,17317180917
军弘谷公寓,杨浦区,逸仙路205号,单间,3042,4023,18.88,32.99,17269309898
慧智·有巢公寓社区,浦东新区,浦东新区沪南公路4699弄,单间、二居室、一居室,1931,4000,28.67,64.14,61732390
中瑞公寓,普陀区,中山北路2438号,一居室,4510,7640,25.37,56.62,62222118
乐巢公寓,黄浦区,黄河路333号,单间,6951,13739,30.5,63.38,13651842122
森兰星遇公寓(新展城店),浦东新区,上海市浦东新区高建北路188弄,一居室,3357,5148,32.47,67.98,50661799
静安区德慧苑项目,静安区,沪太路631弄,二居室、一居室,2472,4212,25.97,59.84,64186357
黄浦区淮海中路809号等项目,黄浦区,黄浦区淮海中路809号,二居室、一居室,3150,9675,23.4,79.95,64186357
松江区华莹山路450弄项目,松江区,松江区华莹山路450弄,一居室,1377,1462,58.43,58.43,64186357
徐汇区桂林西街14弄23号等项目,徐汇区,桂林西街14弄,一居室、二居室,3655,5780,31.64,84.29,64186357
茂兴路35号,浦东新区,茂兴路35号,一居室、二居室,2385,4815,22,53.1,64186357
闵行区浦涛路75弄15号1002室等项目,闵行区,浦涛路75弄,二居室、一居室,1488,4320,43.29,106.26,64186357
融寓上海华和路店,宝山区,上海市宝山区大场镇华和路601号,一居室,2340,5816,25.69,64.02,18516407888
宇祺客栈,静安区,北宝兴路600号,一居室,2089,5303,16.59,41.46,15900678333
纳仕丨张江社区右里X区,浦东新区,浦东新区孙桥路750弄,单间、一居室,2579,4872,20.84,42.47,17717072108
华智公寓,徐汇区,徐汇区景东路5677号,一居室,3318,7906,28.81,62.27,15301889218
越秀·静安悦,静安区,西藏北路677弄,三居室、二居室,8993,9614,86.78,91.96,62665300
建工玥里惠南二店,浦东新区,上海市浦东新区惠南镇勤奋路458弄,一居室,1817,2469,44.13,56.96,18512159980
安泊新里,杨浦区,周家嘴路3681号,单间,4311,5931,32.41,60.2,18916480090
壹心寓宝龙旭辉店,杨浦区,顺平路906号,单间,4874.4,6451.2,36.3,39.8,13621960163
壹间虹桥璀璨领峯,嘉定区,上海市嘉定区南翔镇嘉好路788弄,二居室,3774,4693,70.23,70.27,18930200556
莘庄工业区鑫悦阳光一期,闵行区,申学路430弄,三居室、二居室、一居室、单间,959,5730,11.05,123.45,13381832538
来福里公寓二期,静安区,江场西路180号,一居室,3346.65,3868.74,24.48,26.9,15660709088
嘉荷新苑社区,嘉定区,东至合作路,一居室、二居室、单间、三居室,2251,7115,39.92,126.51,13301823557
瀚凡乐寓,虹口区,逸仙路768号,单间,1467,4896,14.14,38.12,19105459224
尚财湾·创业家社区,杨浦区,上海市杨浦区纪念路100号,单间,3782.7,6139.8,28.97,41.78,13122602014
龙湖冠寓上海奉贤天街店,奉贤区,上海市奉贤区光迎路369弄,一居室,1723.8,2202.7,27.92,33.85,18101709745
合庆璟泊社区,浦东新区,浦东新区合庆镇环庆东路820弄,单间、一居室,1667,2029,39.23,43,80572639
松花江路自如友寓,杨浦区,上海市杨浦区松花江路159号,单间,3238.2,7141.5,27.01,53.11,17746577389
慧智·艾尚里公寓社区（一期）,浦东新区,上海市浦东新区新浦路398弄,一居室,3873,6534,33.61,65.57,58622175
美寓家,宝山区,沪太路2568弄,一居室,1960,4874,18,40,66266508
爱玛公寓,宝山区,潘泾路3055号,单间,1347.3,1390.5,30,30,13651638205
虹桥乐贤居一期,闵行区,上海市闵行区北华路22弄,二居室、一居室,2472,5220,38.36,70.16,64887816
雨宸公寓,嘉定区,嘉定区菊园新区嘉唐公路69号,单间,2394,4620,30.31,77,19121393353
上海保利和寓光合社区,闵行区,闵行区都会路1700弄,一居室,2050,4620,25.17,47.08,17317205678
盛世新苑,崇明区,崇明区城桥镇高岛路170弄,一居室、二居室,1507.14,1830.69,58.26,82.92,69698109
谊品铧寓,杨浦区,上海市杨浦区宁城路150号,三居室、一居室、二居室,4399.9,9941.4,38.21,82.96,16601778704
绿庭寓国际青年社区项目（二期）,长宁区,上海市长宁区中山西路555号,一居室,5027,5355,32.06,37.35,18101918837
朗诗寓,杨浦区,上海市杨浦区闸殷路1515号,单间,3888.2,10322.6,28.86,95.58,18019171624
虹桥人才公寓（西区）,长宁区,上海市长宁区广虹路98弄,单间、多居室、二居室、一居室,2418,9869,19.4,90.26,62397878
中环·桃乐居,普陀区,上海市普陀区佳创路51弄,三居室、二居室、一居室,3940,7020,37.95,83.85,17821175343
上海新凤抱家华新乡村公寓（二期）,青浦区,北新村(任家浜)109号,单间,1321.83,1977.03,17.6,62.1,18800291837
奉发未来·煜文苑,奉贤区,张翁庙路360弄,一居室、二居室、单间,1802.7,3220.38,35.96,75.65,67186778
佘山环球企业中心·闲猫青年社区,松江区,上海市松江区广富林路5000弄,一居室、单间,1330,3848,31,98.97,18701956769
临港南大人才社区-北区,宝山区,姚湾路299弄,二居室、三居室、单间,3114,9787,28.13,91.3,15102160269
上海浦江方隅服务公寓,闵行区,江鹏路632号,一居室,3300,6200,30.21,45.79,15317874974
河马公舍华新店,青浦区,上海市青浦区新凤中路888弄,单间,1056.6,2314.8,14.26,35.23,59880718
莘庄工业区鑫悦阳光二期,闵行区,申学路618弄,单间、一居室、三居室,1197,5840,11.05,117.64,19921010799
莘庄工业区鑫悦阳光三期,闵行区,春康路252弄,二居室、一居室、单间,1000,5345,10,85,15062273707
青村里青年社区,宝山区,宝山区月浦镇锦乐路999号,一居室,1821.6,3792.6,18,27.8,18918565680
建悦里（嘉定区菊园新区JDC1-0403单元30A-01地块）,嘉定区,上海市嘉定区柳菊路33弄,二居室、一居室,2463.3,3997.8,29.79,50.36,18918351853
滨江欣景人才公寓,黄浦区,中山南路36号,一居室,5000,7600,23,40,15000130753
闵房泊寓疏影路店,闵行区,疏影路1366号,单间、一居室,1500,3050,18,42,80572616
花米粒公寓（洋江·贝壳海盐公寓）,松江区,上海市松江区易富路1139弄,一居室、二居室,2942,6322,39.75,69.37,67817799
新科祥园,松江区,长浜路600弄,一居室、二居室,2408.9,3946,35.83,73.44,18601777671
瑞元里,徐汇区,中山西路1790弄,一居室,4500,7975,19.76,51.62,18121279162
城璟宝山中环社区,宝山区,宝山区大场镇环镇南路858弄,单间,2624,4549,20.61,61.35,17602164595
颐家公寓（宝钰澜庭店）,宝山区,桂泰路147号,一居室,2210.4,6235.56,28.87,123.5,18939964206
金茂公寓（虹桥金茂悦门店）,青浦区,上海市青浦区新府中路1658弄,一居室、二居室、单间,2412,4439,47.41,92.85,15102111650
江宁路公寓,普陀区,普陀区江宁路1415弄,二居室、一居室,5410,11080,40.29,101.66,13621710587
宿香门第公寓九亭店,松江区,松江区九新公路10051幢,单间,1201,2484,8.3,31.4,13801749988
华润有巢公寓社区马桥AI店,闵行区,中青路588弄,一居室、二居室、单间,2096.93,3855.6,27.48,55.87,19925220991
慧智·仁恒派租赁社区（东区）,浦东新区,上海市浦东新区周秀北路89弄,三居室、二居室、一居室、单间,3124,9631,42.49,128.01,13127565075
卢宛158项目,黄浦区,保屯路26号,一居室,5700,10700,27.5,41.27,17702120658
星橙里公寓虹口店,虹口区,虹口区青云路266号,单间,3267.27,5726.7,17.11,35.57,13818810369
戎遇公寓（二期）,虹口区,欧阳路85号,单间,3323.7,7938.72,19.52,56.53,17717688663
苏河美欣公寓,黄浦区,上海市黄浦区西藏中路728号,一居室、二居室,12843,39366,51.27,189.33,63616982
东方·星苑（四平路）,虹口区,上海市虹口区四平路210号,单间,4001,11616,32.65,101.39,65220686
礼御·领现公寓,浦东新区,上海市浦东新区唐镇利川路89弄,一居室、二居室,3447,6516,46.94,111.74,61682223
城家公寓柳营路,虹口区,上海市虹口区柳营路125号,单间,4695,7031,36.22,61.19,15001721161
房建丽景公寓,金山区,上海市金山区金山卫镇西静路969弄,二居室、三居室、一居室、单间,840,2780,31.16,98.24,33690808
雷北诵芬公寓,虹口区,上海市虹口区天宝路884号,单间、二居室、一居室,3257,6227,19.83,36.61,17321067080
市北高新人才公寓·东苑,静安区,上海市静安区寿阳路88弄,一居室、二居室,4972,10905,36.73,79.26,56660811
微领地新静安中心社区（二期）,静安区,静安区临汾路1000弄,单间,3429,5209,16.78,38.19,18501608928
星江湾公寓·CCB建融家园,宝山区,上海市宝山区淞湾路223弄,一居室、二居室,4208,7749,59.41,85.28,19921894008
璟贤公寓,浦东新区,浦东新区南码头街道世博村路9弄,二居室、一居室、三居室,6021,21636,40.96,154.16,19921657963
城投宽庭莘庄社区,闵行区,都市路1600弄,单间、一居室,1531,2925,31.55,48.33,18916480848
友间公寓宝地虹乐苑,虹口区,上海市虹口区广粤路76弄,二居室、一居室、单间,5130,11124,33.53,99.24,18616311309
金盛泽寓,青浦区,上海市青浦区金泽镇爱新路26号,单间,1219,2546,25,62,15821636637
奉发未来·临港社区,奉贤区,上海市奉贤区海港开发区港乐路128弄,单间、一居室、三居室、二居室,500,3768.8,21.12,99.94,57150909
光明里公寓（打浦路店）,黄浦区,打浦路198号,一居室,5612,7557,29.41,56.24,17891934035
龙湖冠寓上海闵行天街店,闵行区,剑川路1000弄,一居室、单间,2647.43,3519.6,33,36,13162762546
越秀星寓上海杨浦互联宝地店,杨浦区,上海市杨浦区眉州路1055弄,一居室,4143.6,4628.7,29.86,30.89,19121234977
榕寓交暨路店,普陀区,交暨路193弄,二居室、单间、一居室,2364,9081,17.89,101.3,13636504677
金茂公寓横沔门店,浦东新区,上海市浦东新区沔新路558弄,一居室、二居室,3535,8055,44.31,104.71,13127756558
大华享寓锦绣四季顾村中学社区,宝山区,顾北路358弄,一居室、二居室,3654.3,5243.7,44.57,65.63,18817920575
菁舍公寓,杨浦区,杨浦区长阳路1673号,单间,2549.7,7399.8,18,36,15317607686
安泊派青年社区,杨浦区,政青路59号,单间,2157.1,4782.9,20,42,15802171173
群宥公寓,虹口区,密云路665弄,单间,3614,3799,23.88,43.42,19521250435
静武公寓,静安区,静安区武定路657弄,单间,3918,9267,21.63,54.48,18018800295
国拓半隐公寓（自如寓）,闵行区,中春路2669号,单间、一居室,1746,3055.5,20,35,18616125358
祁润家园,宝山区,宝山区环镇北路1399弄,一居室、二居室,4623.6,7069.5,46.83,71.15,18721728578
民欣公寓,杨浦区,上海市杨浦区国和路490号,单间,2890.8,3704.4,18,31,13795282690
未来已来创智社公寓2期,宝山区,安达路31号,一居室,1800,3870,12,40,13764126822
城投宽庭·浦江社区,闵行区,上海市闵行区恒南路659弄,一居室、单间、二居室,2480,10560,25.43,100.99,13817997731
KB建滔,长宁区,上海市长宁区通协路269号,三居室、一居室、二居室,3640,25230,20.08,226.59,15755152575
富绅中心27号,青浦区,上海市青浦区公园东路1289弄,单间,4084,8862,41.9,95.69,18019778859
青云路城建大厦,虹口区,虹口区青云路158号,二居室、一居室、单间,3880,10440,21.03,60.45,15301757873
谊.魔方上海吴泾华师大店,闵行区,龙吴路5395号,一居室、单间,2288,2929,24.05,29.52,13023202707
悦来青柚公寓（武定路）二期,静安区,静安区武定路458号,单间,8193,8574,41.3,52.2,52995398
壹间公寓-虹桥公馆二期,青浦区,上海市青浦区徐泾镇尚茂路229弄,一居室、单间,2790,4743,28.03,48.24,18721193664
盛捷虹口外滩界服务公寓,虹口区,衡水路61号,一居室、二居室,12177,32508,31.27,122.41,36200688
港城领寓（泥城）Ⅰ期,临港新城,浦东新区泥城镇白絮路66弄,二居室、一居室、三居室,1680,4350,60.43,141.31,13371895007
上海保利和寓眉州路店,杨浦区,上海市杨浦区眉州路1055弄,一居室,4152.6,4639.5,29.93,30.96,13310117380
金光景庭,普陀区,普陀区连亮路490弄,二居室、一居室,3990,7950,34.15,119.21,19901763281
桂客公寓滨江店（二期）,黄浦区,上海市黄浦区制造局路833弄,一居室,4275,7302,16.32,30.92,18964016758
桂客公寓豫园店,黄浦区,黄浦区黄家路30号,一居室,3789,8239,16.14,49.7,13381769082
城置公寓,杨浦区,上海市杨浦区河间路567弄1-5号,一居室,4536,5058,41.76,45.79,17511666587
能创嘉寓（嘉定新成社区A03-06地块租赁住房项目）,嘉定区,嘉定区嘉罗公路666弄,一居室、二居室、单间,2390.4,4158,32.02,75.28,19921459599
悦庭10 · 数智天地,浦东新区,上海市浦东新区御南路99弄,一居室,3040,6830,31.44,64.88,61180833
嘉住·菊园社区（嘉树臻庭）,嘉定区,上海市嘉定区树屏路1957弄,一居室、三居室、二居室,2252,4485,36.15,87.25,69988806
壹间公寓-虹桥公馆三期,青浦区,上海市青浦区徐泾镇双联路668弄,一居室、二居室,3222,4482,32.63,47.2,18721193664
上海乐港三宝电器有限公司（乐家公寓）,松江区,上海市松江区车墩镇车泾路99号,二居室、单间、一居室,1274,3195,24.2,87,17317868032
金地草莓社区南大店（北区）,宝山区,宝山区大场镇清卓路125弄,二居室、一居室,3110,5909,27.9,48.9,19921606733
宝山璟晗社区,宝山区,宝山区金勺路901弄,单间、一居室,1272,1553,40.58,46.68,13818346267
中海宁熙苑（7号楼）,长宁区,上海市长宁区通协路355弄,一居室,5364,7349,31.87,33.42,13127686818
市北华庭,静安区,上海市静安区云飞东路505弄,三居室、一居室,8272,14117,63.71,110.08,56552915
快乐E家公寓,静安区,平陆路372号,单间,4229,5169,30.75,35.29,56388852
宏桥兰庭（兰庭公寓）,松江区,上海市松江区涞坊路1588弄,一居室、二居室,3107.4,5812.5,31.82,59.18,17301864868
盛嘉源公寓,普陀区,上海市普陀区真北路3370号,一居室,4440,5260,27.89,47.7,13311793960
乐享公寓(壹间新桥G60科创云廊社区）,松江区,夏松路66弄,单间、二居室、一居室、三居室,2562,9428,34.81,97.57,18217378301
柏雅居公寓,普陀区,上海市普陀区常德路1341弄,二居室、一居室,10155,13428,47,80,36696788
蓝晨公寓,静安区,武定路458号,单间,6100,11270,23,74.6,52995398
宝泉惠景苑,宝山区,宝泉路22弄,二居室、一居室,2421.2,3924.2,38.51,66.52,56925090
青帆公寓,杨浦区,杨浦区三门路560号,单间,2727.9,3029.4,22.45,23.92,19121304998
彩虹小居赛特店,杨浦区,上海市杨浦区军工路1300号,单间,1966,4320,18,69,15216881300
彩虹小居军工路店,杨浦区,上海市杨浦区军工路100号,单间,1190.1,4170,11.6,39.4,13564250552
彩虹小居松花江路店,杨浦区,上海市杨浦区松花江路99号,单间,2195,5628.3,15.6,40,13262771110
彩虹小居城大店,杨浦区,上海市杨浦区军工路1205号,单间,2649.4,5771.5,21.5,63.1,13003141205
龙湖冠寓谷阳北路店,松江区,松江区谷阳北路2558弄,一居室,2437.38,3162.87,23.89,32.8,13524988259
卢宛佳园,黄浦区,顺昌路10号,三居室、二居室、一居室,1710,21240,9.9,172.15,17702120658
南舒房打浦店,黄浦区,上海市黄浦区斜土路766弄,一居室、多居室,2830,6388,17.72,40.52,15317232753
慧智·云璟（张家浜楔形绿地人才公寓项目）,浦东新区,金葵路560弄,一居室、二居室、三居室、单间,5850,13140,54.97,136.64,68883838
中企云萃江湾,杨浦区,杨浦区江湾城路681弄,一居室、单间、三居室,4227.3,9756.9,35.29,156.9,18502110019
阡集·创社区西区,闵行区,上海市闵行区东川路150弄,二居室、一居室、单间,2770,8810,28.14,112.2,15601766777
近铁自如寓,虹口区,中山北一路9号,单间,4077.9,6717.6,25.2,53,17746577389
青莺社区,静安区,静安区南山路99号,单间,2723.94,6749.64,11,40,15618206316
宜居公寓,普陀区,普陀区宜昌路555号,一居室、单间、二居室,4716,6085,31.71,50.22,13162561218
上海雅遇公寓（北外滩）（北外滩街道77街坊租赁项目）,虹口区,东余杭路399号,二居室、一居室,8991,15228,47.22,82.44,35888777
白居易新青年公寓同济店,杨浦区,上海市杨浦区四平路1088号,单间,1881,6300,13.13,43.5,13162312065
益辉光明酒店式公寓,杨浦区,上海市杨浦区鞍山路220号,单间,1299.8,3279.4,10.3,26.8,19542799984
城方·张江璟绸社区,浦东新区,浦东新区张衡路2000弄,二居室、三居室、一居室,4457,11107,40.49,99.93,18101839318
壹棠服务公寓（静安市北店）,静安区,上海静安区云飞东路518弄,一居室、二居室,7434,15390,50.72,128.47,18321898699
通元雅舍,杨浦区,上海市杨浦区霍山路1058号,单间,2719.8,4452.8,30.25,54.98,19145538968
翔洲公寓,杨浦区,翔殷路265号,单间,1764.9,3830.9,16.18,31.53,13166178898
福产自如寓（黄兴公园店）,杨浦区,上海市杨浦区营口路764号,单间,3482.4,6314.1,28.51,50.06,15316666093
彩虹小居河间路店,杨浦区,上海市杨浦区河间路810号,单间,2019.3,2542.8,12.1,18.3,18721439778
彩虹小居双阳店,杨浦区,上海市杨浦区双阳二村35号,单间,2458,3375,15.8,20.5,13761150796
彩虹小居打虎山路店,杨浦区,上海市杨浦区打虎山路30号,单间,1492.7,4712.3,9.6,32.3,17321397025
彩虹小居淞沪路店,杨浦区,上海市杨浦区淞沪路605号,单间,2885.1,7290.7,14.6,50,18049720061
悦庭04·数智天地,浦东新区,上海市浦东新区康恒路188弄,一居室、单间,3030,6780,31.88,67.61,61180059
衡汇寓一期,徐汇区,上海市徐汇区丰谷路180弄,一居室,7650,8325,66.01,74.2,18121133268
卢宛佳园三期,黄浦区,南塘浜路93弄,一居室、三居室、二居室,3060,13050,16.7,140.15,17702120658
嘉住·城际铁社区(嘉岸名庭),嘉定区,嘉定区安亭镇庭丽路160弄,一居室、三居室,1747,3789,33.2,99.85,39196666
城投宽庭徐汇社区,徐汇区,上海市徐汇区漕溪路258弄,二居室、一居室、单间,3818,12418,26.72,79.46,18121308732
明天荟公寓,普陀区,普陀区华池路58弄,三居室、一居室、二居室,4841,17981,35.18,155.56,62170016
北科创公寓,虹口区,上海市虹口区松花江路2601号,单间,5507.7,6625.6,33.38,44.25,65533550
上实菁英荟二店,宝山区,宝正路99弄,单间,2790,3078,36.81,36.84,18721557508
上实菁英荟一店,宝山区,沪联路1228弄,一居室、单间,2380.5,4743,36.68,73.42,18721557508
上汽青年公寓（延安中路店）,黄浦区,上海市黄浦区延安中路527号,一居室,2561,8026,22.22,54.39,13041614696
光明星城,临港新城,莺歌路399弄,单间、一居室,842,1277,29.46,39.21,15821634028
宁家公寓（宁嘉馨苑店）,静安区,上海市静安区乌镇路155弄,二居室,8091,8631,68.32,68.63,19117122797
阳光金钥匙社区公寓（江浦路店）,杨浦区,杨浦区江浦路455号,单间,2401.8,4029.2,19.95,31.45,17317263236
隆渊公寓（长风公园店）,普陀区,大渡河路640号,二居室、一居室,3632.1,5684.8,17.9,50,18721790510
奉发未来·煜丰苑,奉贤区,上海市奉贤区金汇镇,三居室、二居室、单间、一居室,1863,4473,41.99,97.5,67186606
罗森宝公寓（一期）,宝山区,潘泾路4333弄,一居室、二居室,2246,3660,43.89,71.62,33850000
南舒房滨江店二期,黄浦区,中山南路1569号,一居室,4550,7250,32.09,55.47,18217098366
上海金汇中心,奉贤区,上海市奉贤区金汇镇金闸公路1089弄,null、一居室,1674.9,3459.7,30.7,58.6,37568388
白居易新青年公寓（漕河泾店）,徐汇区,上海市徐汇区桂箐路7号,一居室,2430,6255,10.64,48.52,19921026876
来福里公寓一期,静安区,静安区江场西路180号,单间,3999.87,7890,31.18,60.09,66520032
和欣假日公寓,宝山区,上海市宝山区逸仙路3188弄,一居室,1997.1,5639.4,32.98,48.8,56563333
黄兴公寓,杨浦区,上海市杨浦区黄兴路1号,单间,2072.7,3975.3,17.5,32.36,18121238736
中核品寓二期,青浦区,上海市青浦区蟠龙路399弄,二居室、一居室,5220,7137,51.8,73.45,39880227
儒德公寓(徐汇区环卫职工之家 ),徐汇区,石龙支路27号,二居室、单间、一居室,3960,9720,17,48,13681900399
虹寓·东宝兴路店,静安区,上海市静安区东宝兴路446号,一居室,3645,5355,16.23,42.63,19921675799
临客公寓·虹临居,长宁区,虹桥路996弄,二居室、一居室,4386,5981,34.2,52.35,18019288358
友间公寓宝地友乐苑社区,宝山区,庆安路51弄,三居室、二居室、一居室,3508,6319,44.36,86.96,13162173811
